dataset,maximum_candidate_cutoff,seed,method,retrieval_latency_s_per_query,reranker_latency_s_per_query,end_to_end_latency_s_per_query,latency_boundary
arguana,100,2,fp32_reranker_cpu,0.06845625047018984,1.6159507111759595,1.6844069616461492,retrieval_plus_reranker
arguana,100,2,dynamic_int8_reranker_cpu,0.06845625047018984,1.2126276236339617,1.2810838741041515,retrieval_plus_reranker
arguana,100,3,bm25_no_rerank,0.06379139613018196,,0.06379139613018196,retrieval_only
arguana,100,3,fp32_reranker_cpu,0.06379139613018196,1.616971926745915,1.680763322876097,retrieval_plus_reranker
arguana,100,3,dynamic_int8_reranker_cpu,0.06379139613018196,1.2178007109158935,1.2815921070460754,retrieval_plus_reranker
arguana,100,4,bm25_no_rerank,0.06847698945952288,,0.06847698945952288,retrieval_only
arguana,100,4,fp32_reranker_cpu,0.06847698945952288,1.6232263815959305,1.6917033710554534,retrieval_plus_reranker
arguana,100,4,dynamic_int8_reranker_cpu,0.06847698945952288,1.2235991100078973,1.2920760994674203,retrieval_plus_reranker
arguana,100,5,bm25_no_rerank,0.06783940638997592,,0.06783940638997592,retrieval_only
arguana,100,5,fp32_reranker_cpu,0.06783940638997592,1.6122177761799685,1.6800571825699444,retrieval_plus_reranker
arguana,100,5,dynamic_int8_reranker_cpu,0.06783940638997592,1.2157896809779194,1.2836290873678953,retrieval_plus_reranker
