dataset,maximum_candidate_cutoff,seed,method,original_nominal_candidates_per_second,actual_candidate_count,latency_s_per_query,corrected_throughput
nfcorpus,100,5,bm25_no_rerank,148834.53115329077,65.79,0.0006718870898112072,97918.23804575001
nfcorpus,100,5,fp32_reranker_cpu,90.24616304498262,65.79,1.108080350741955,59.37295066729407
nfcorpus,100,5,dynamic_int8_reranker_cpu,110.60542333902497,65.79,0.904114798182025,72.76730801474453
fiqa,20,1,bm25_no_rerank,447.28780351268296,20.0,0.04471393997988343,447.28780351268296
fiqa,20,1,fp32_reranker_cpu,60.77420838783084,20.0,0.3290869684779755,60.77420838783084
fiqa,20,1,dynamic_int8_reranker_cpu,81.11468096525643,20.0,0.24656449069394148,81.11468096525643
fiqa,20,2,bm25_no_rerank,452.94993736207846,20.0,0.04415499009995983,452.94993736207846
fiqa,20,2,fp32_reranker_cpu,60.415518804258284,20.0,0.331040772235996,60.415518804258284
fiqa,20,2,dynamic_int8_reranker_cpu,81.41355754470557,20.0,0.2456593300079985,81.41355754470557
fiqa,20,3,bm25_no_rerank,412.4602408280156,20.0,0.048489522189702254,412.4602408280156
fiqa,20,3,fp32_reranker_cpu,62.04015877280871,20.0,0.32237183778397593,62.04015877280871
fiqa,20,3,dynamic_int8_reranker_cpu,79.72482779435786,20.0,0.2508628811540111,79.72482779435786
fiqa,20,4,bm25_no_rerank,433.33588312378055,20.0,0.046153574580130224,433.33588312378055
fiqa,20,4,fp32_reranker_cpu,61.77044861115738,20.0,0.32377941960401224,61.77044861115738
fiqa,20,4,dynamic_int8_reranker_cpu,79.77699295942585,20.0,0.2506988450939971,79.77699295942585
fiqa,20,5,bm25_no_rerank,452.45061252978144,20.0,0.044203719579854805,452.45061252978144
fiqa,20,5,fp32_reranker_cpu,62.89192735079222,20.0,0.3180058370360639,62.89192735079222
fiqa,20,5,dynamic_int8_reranker_cpu,80.65017917083979,20.0,0.2479845699739162,80.65017917083979
fiqa,50,1,bm25_no_rerank,1115.6789688215683,50.0,0.04481575918995077,1115.6789688215683
fiqa,50,1,fp32_reranker_cpu,60.55199169005847,50.0,0.8257366703300213,60.55199169005847
fiqa,50,1,dynamic_int8_reranker_cpu,78.5955350126831,50.0,0.6361684539959097,78.5955350126831
fiqa,50,2,bm25_no_rerank,1099.8514036453337,50.0,0.04546068662937614,1099.8514036453337
fiqa,50,2,fp32_reranker_cpu,62.408953055599284,50.0,0.8011671010641003,62.408953055599284
fiqa,50,2,dynamic_int8_reranker_cpu,77.70865401041512,50.0,0.643428980166078,77.70865401041512
fiqa,50,3,bm25_no_rerank,1037.3023096836762,50.0,0.048201955720360276,1037.3023096836762
fiqa,50,3,fp32_reranker_cpu,62.42909876996668,50.0,0.8009085664400772,62.42909876996668
fiqa,50,3,dynamic_int8_reranker_cpu,77.49307213855992,50.0,0.6452189675820118,77.49307213855992
fiqa,50,4,bm25_no_rerank,1082.9389505334789,50.0,0.04617065438025748,1082.9389505334789
